web-scraper-order,web-scraper-start-url,select,select-href,pagination,prod,prod-href,dispo,gtin,marque,gamme,gamer,systeme,taille_ecran,resolution,processeur,type_processeur,ref_proc,freq_processeur,memoire_cache,ram,disque_dur,type_disk,carte_graphic,chipset_carte,connectors,couleur,grantie,prix
"1683666238-46","https://www.mytek.tn/","Ordinateurs portables","https://www.mytek.tn/informatique/ordinateurs-portables.html","https://www.mytek.tn/informatique/ordinateurs-portables.html?p=3","Pc Portable DELL Vostro 3510 i3 11è Gén 4Go 256Go SSD - Noir","https://www.mytek.tn/pc-portable-dell-vostro-3510-i3-11e-gen-4go-256go-ssd-noir.html","En stock","3510-I3-256SSD","DELL","VOSTRO 3510","Non","","","1366 x 768 pixels","Intel Core i3","Dual Core","Intel Core i3-1115G4","3.00 GHz up to 4,10 GHz Turbo max","6 Mo","4 Go","256 Go SSD","SSD","Graphique Intégrée","Intel UHD","1x USB 3.2 Gen 1, 1xUSB-C 3.2 Gen 1, 1xUSB 2.0, 1x HDMI 1.4, 1x RJ45,1xprise jack audio","Noir","1 an",""
"1683666238-78","https://www.mytek.tn/","Ordinateurs portables","https://www.mytek.tn/informatique/ordinateurs-portables.html","https://www.mytek.tn/informatique/ordinateurs-portables.html?p=5","Pc Portable DELL Vostro 3510 i3 11è Gén 20Go 1To - Noir","https://www.mytek.tn/pc-portable-dell-vostro-3510-i3-11e-gen-20go-1to-noir.html","En stock","735775-3510-20G","DELL","VOSTRO 3510","Non","","","1366 x 768 pixels","Intel Core i3","Dual Core","Intel® Core™ i3-1115G4","3,00 GHz Up to 4,10 GHz Turbo max","6 Mo","20 Go","1 To HDD","HDD","Graphique Intégrée","Intel UHD","1x USB 3.2 Gen 1, 1x USB-C 3.2 Gen 1, 1x USB 2.0, 1x HDMI 1.4, 1x RJ45,1x prise jack audio","Noir","1 an",""
"1683666246-1","https://www.mytek.tn/","Ordinateurs portables","https://www.mytek.tn/informatique/ordinateurs-portables.html","https://www.mytek.tn/informatique/ordinateurs-portables.html?p=2","PC Portable LENOVO IdeaPad 3 15IML05 i3 10è Gén 8Go 1To - Bleu","https://www.mytek.tn/pc-portable-lenovo-ideapad-3-15iml05-i3-10e-gen-8go-1to-bleu.html","En stock","81WB00XVFG-8G","LENOVO","IDEAPAD 3","Non","","","1920 x 1080 pixels","Intel Core i3","Dual Core","Intel Core i3-10110U","2.10 GHz up to 4.10 GHz Turbo max","4 Mo","8 Go","1 To HDD","HDD","Graphique Intégrée","Intel UHD","1x USB 2.0, 2x USB 3.2 Gen 1, 1x HDMI 1.4b, 1x prise combinée casque/microphone (3,5 mm), 1x lecteur de carte","Bleu","1 an","999,000 DT"
"1683666249-2","https://www.mytek.tn/","Ordinateurs portables","https://www.mytek.tn/informatique/ordinateurs-portables.html","https://www.mytek.tn/informatique/ordinateurs-portables.html?p=2","PC Portable LENOVO IdeaPad 3 15IML05 i3 10è Gén 12Go 1To - Bleu","https://www.mytek.tn/pc-portable-lenovo-ideapad-3-15iml05-i3-10e-gen-12go-1to.html","En stock","81WB00XYFG-12G","LENOVO","IDEAPAD 3","Non","","","1920 x 1080 pixels","Intel Core i3","Dual Core","Intel® Core™ i3-10110U","2,10 GHz up to 4,10 GHz Turbo max","4 Mo","12 Go","1 To HDD","HDD","Graphique Intégrée","Intel UHD","1x USB 2.0, 2x USB 3.2 Gen 1, 1x HDMI 1.4b, 1x prise combinée casque/microphone (3,5 mm), 1x lecteur de carte, 1x connecteur d'alimentation","Bleu","1 an","Prix spécial 999,000 DT      Ancien prix 1 079,000 DT  -80DT"
"1683666252-3","https://www.mytek.tn/","Ordinateurs portables","https://www.mytek.tn/informatique/ordinateurs-portables.html","https://www.mytek.tn/informatique/ordinateurs-portables.html?p=2","Pc Portable DELL Vostro 3510 i3 11è Gén 8Go 1To - Noir","https://www.mytek.tn/pc-portable-dell-vostro-3510-i3-11e-gen-8go-1to-noir.html","En stock","735775-3510-8G","DELL","VOSTRO 3510","Non","","","1366 x 768 pixels","Intel Core i3","Dual Core","Intel® Core™ i3-1115G4","3,00 GHz Up to 4,10 GHz Turbo max","6 Mo","8 Go","1 To HDD","HDD","Graphique Intégrée","Intel UHD","1x USB 3.2 Gen 1, 1x USB-C 3.2 Gen 1, 1x USB 2.0, 1x HDMI 1.4, 1x RJ45,1x prise jack audio","Noir","1 an","Prix spécial 999,000 DT      Ancien prix 1 095,000 DT  -96DT"
"1683666255-4","https://www.mytek.tn/","Ordinateurs portables","https://www.mytek.tn/informatique/ordinateurs-portables.html","https://www.mytek.tn/informatique/ordinateurs-portables.html?p=2","Pc Portable HP 250 G8 i3 10è Gén 8Go 1To - Argent Foncé","https://www.mytek.tn/pc-portable-hp-250-g8-i3-10e-gen-8go-1to-argent-fonce.html","En stock","27K10EA-8G","HP","250 G8","Non","","","1366 x 768 pixels","Intel Core i3","Dual Core","Intel® Core™ i3-1005G1","1,20 GHz up to 3,40 GHz Turbo max","4 Mo","8 Go","1 To HDD","HDD","Graphique Intégrée","Intel HD","2x USB Type-A, 1x USB Type-C, 1x HDMI 1.4b, 1x RJ-45, 1 prise combinée casque/microphone, 1 prise d’alimentation secteur, Logements d'extension","Argent Foncé","1 an","999,000 DT"
"1683666258-5","https://www.mytek.tn/","Ordinateurs portables","https://www.mytek.tn/informatique/ordinateurs-portables.html","https://www.mytek.tn/informatique/ordinateurs-portables.html?p=2","Pc Portable DELL Vostro 3400 i3 11è Gén 12Go 1To - Noir","https://www.mytek.tn/pc-portable-dell-vostro-3400-i3-11e-gen-12go-1to-noir.html","En stock","N6004VN3400EMEA01-12G","DELL","VOSTRO 3400","Non","","","1366 x 768 pixels","Intel Core i3","Dual Core","Intel Core i3-1115G4","3.00 GHz up to 4,10 GHz Turbo max","6 Mo","12 Go","1 To HDD","HDD","Graphique Intégrée","Intel HD","1x USB 2.0 Type-A , 2x USB 3.2 Gen 1 Type-A, 1x HDMI 1.4,1x RJ-45, 1 prise jack pour casque 3.5 mm","Noir","1 an","995,000 DT"
"1683666261-6","https://www.mytek.tn/","Ordinateurs portables","https://www.mytek.tn/informatique/ordinateurs-portables.html","https://www.mytek.tn/informatique/ordinateurs-portables.html?p=2","PC Portable LENOVO V15 IML i3 10è Gén 4Go 1To - Gris","https://www.mytek.tn/pc-portable-lenovo-v15-iml-i3-10e-gen-4go-1to-gris-82nb000gfe.html","En stock","82NB000GFE","LENOVO","V15 IML","Non","","","1920 x 1080 pixels","Intel Core i3","Dual Core","Intel Core i3-10110U","2,10 GHz up to 4,10 GHz Turbo max","4 Mo","4 Go","1 To HDD","HDD","Graphique Intégrée","Intel UHD","1xUSB 2.0, 2x USB 3.2 Gen 1, 1x HDMI 1.4b, 1x prise combinée casque/microphone (3,5 mm), 1x lecteur de carte, 1x connecteur d'alimentation","Gris","1 an","989,000 DT"
"1683666264-7","https://www.mytek.tn/","Ordinateurs portables","https://www.mytek.tn/informatique/ordinateurs-portables.html","https://www.mytek.tn/informatique/ordinateurs-portables.html?p=2","PC Portable LENOVO IdeaPad 3 15ALC6 AMD RYZEN 3 4Go 256Go SSD - Bleu","https://www.mytek.tn/pc-portable-lenovo-ideapad-3-15alc6-amd-ryzen-3-4g-256go-ssd-bleu.html","En stock","82KU01QFFG","LENOVO","IDEAPAD 3","Non","","","1920 x 1080 pixels","AMD Ryzen 3","Quad Core","AMD Ryzen™ 3 5300U","2.6GHz up to 3.8GHz Turbo max","4 Mo","4 Go","256 Go SSD","SSD","AMD Radeon","AMD Radeon","1x USB 2.0, 1x USB 3.2 Gen 1, 1x USB-C 3.2 Gen 1, 1x HDMI 1.4b, 1x prise combinée casque/microphone (3,5 mm), 1x lecteur de carte","Bleu","1 an","Prix spécial 985,000 DT      Ancien prix 1 129,000 DT  -144DT"
"1683666267-8","https://www.mytek.tn/","Ordinateurs portables","https://www.mytek.tn/informatique/ordinateurs-portables.html","https://www.mytek.tn/informatique/ordinateurs-portables.html?p=2","PC Portable LENOVO IdeaPad 3 15ALC6 AMD RYZEN 3 4Go 256Go SSD - Gris","https://www.mytek.tn/pc-portable-lenovo-ideapad-3-15alc6-amd-ryzen-3-4go-256go-ssd-gris.html","En stock","82KU01QGFG","LENOVO","IDEAPAD 3","Non","","","1920 x 1080 pixels","AMD Ryzen 3","Quad Core","AMD Ryzen™ 3 5300U","2.6 GHz Up to 3.8 GHz Turbo max","4 Mo","4 Go","256 Go SSD","SSD","AMD Radeon","AMD Radeon","1x USB 2.0, 1x USB 3.2 Gen 1, 1x USB-C 3.2 Gen 1, 1x HDMI 1.4b, 1x prise combinée casque/microphone (3,5 mm), 1x lecteur de carte","Gris","1 an","Prix spécial 985,000 DT      Ancien prix 1 129,000 DT  -144DT"
"1683666270-9","https://www.mytek.tn/","Ordinateurs portables","https://www.mytek.tn/informatique/ordinateurs-portables.html","https://www.mytek.tn/informatique/ordinateurs-portables.html?p=2","PC Portable LENOVO IdeaPad 3 15ITL6 i3 11è Gén 4G 256G SSD -Bleu","https://www.mytek.tn/pc-portable-lenovo-ideapad-3-15itl6-i3-11e-gen-4g-256g-ssd-bleu.html","En stock","82H802CSFG","LENOVO","IDEAPAD 3","Non","","","1920 x 1080 pixels","Intel Core i3","Dual Core","Intel® Core™ i3-1115G4","Up to 4.10 GHz Turbo max","6 Mo","4 Go","256 Go SSD","SSD","Graphique Intégrée","Intel UHD","1x USB 2.0, 1x USB 3.2 Gen 1, 1x USB-C 3.2 Gen 1, 1x HDMI 1.4b, 1x prise combinée casque/microphone (3,5 mm), 1x lecteur de carte, 1x connecteur d'alimentation","Bleu","1 an","Prix spécial 979,000 DT      Ancien prix 1 049,000 DT  -70DT"
"1683666273-10","https://www.mytek.tn/","Ordinateurs portables","https://www.mytek.tn/informatique/ordinateurs-portables.html","https://www.mytek.tn/informatique/ordinateurs-portables.html?p=2","PC Portable LENOVO IdeaPad 3 15ITL6 i3 11è Gén 4G 256Go SSD -Gris","https://www.mytek.tn/pc-portable-lenovo-ideapad-3-15itl6-i3-11e-gen-4g-256go-ssd-gris.html","En stock","82H802CQFG","LENOVO","IDEAPAD 3","Non","","","1920 x 1080 pixels","Intel Core i3","Dual Core","Intel® Core™ i3-1115G4","Up to 4,10 GHz Turbo max","6 Mo","4 Go","256 Go SSD","SSD","Graphique Intégrée","Intel UHD","1 port USB 2.0, 1x USB 3.2 Gen 1, 1x USB-C 3.2 Gen 1, 1x HDMI 1.4b, 1x prise combinée casque/microphone (3,5 mm), 1x lecteur de carte, 1x connecteur d'alimentation","Gris","1 an","Prix spécial 979,000 DT      Ancien prix 1 049,000 DT  -70DT"
"1683666276-11","https://www.mytek.tn/","Ordinateurs portables","https://www.mytek.tn/informatique/ordinateurs-portables.html","https://www.mytek.tn/informatique/ordinateurs-portables.html?p=2","PC Portable LENOVO IdeaPad 3 15ITL6 i3 11è Gén 4Go 256G SSD - Sable","https://www.mytek.tn/pc-portable-lenovo-ideapad-3-15itl6-i3-11e-gen-4go-256g-ssd-sable.html","En stock","82H802CTFG","LENOVO","IDEAPAD 3","Non","","","1920 x 1080 pixels","Intel Core i3","Dual Core","Intel® Core™ i3-1115G4","3.00 GHz up to 4,10 GHz Turbo max","6 Mo","4 Go","256 Go SSD","SSD","Graphique Intégrée","Intel UHD","1 port USB 2.0, 1x USB 3.2 Gen 1, 1x USB-C 3.2 Gen 1, 1x HDMI 1.4b, 1x prise combinée casque/microphone (3,5 mm), 1x lecteur de carte, 1x connecteur d'alimentation","Sable","1 an","979,000 DT"
"1683666279-12","https://www.mytek.tn/","Ordinateurs portables","https://www.mytek.tn/informatique/ordinateurs-portables.html","https://www.mytek.tn/informatique/ordinateurs-portables.html?p=2","PC Portable LENOVO IdeaPad 3 15IML05 i3 10è Gén 4Go 1To - Bleu","https://www.mytek.tn/pc-portable-lenovo-ideapad-3-15iml05-i3-10e-gen-4go-1t-bleu.html","En stock","BU-81WB00XVFG","LENOVO","IDEAPAD 3","Non","","","1920 x 1080 pixels","Intel Core i3","Dual Core","Intel Core i3-10110U","2.10 GHz up to 4.10 GHz Turbo max","4 Mo","4 Go","1 To HDD","HDD","Graphique Intégrée","Intel UHD","1x USB 2.0, 2x USB 3.2 Gen 1, 1x HDMI 1.4b, 1x prise combinée casque/microphone (3,5 mm), 1x lecteur de carte","Bleu","1 an","979,000 DT"
"1683666282-13","https://www.mytek.tn/","Ordinateurs portables","https://www.mytek.tn/informatique/ordinateurs-portables.html","https://www.mytek.tn/informatique/ordinateurs-portables.html?p=2","PC Portable LENOVO IdeaPad 3 15IML05 i3 10è Gén 8Go 1To - Bleu","https://www.mytek.tn/pc-portable-lenovo-ideapad-3-15iml05-i3-10e-gen-8go-1to.html","En stock","81WB00XYFG-8G","LENOVO","IDEAPAD 3","Non","","","1920 x 1080 pixels","Intel Core i3","Dual Core","Intel® Core™ i3-10110U","2,10 GHz up to 4,10 GHz Turbo max","4 Mo","8 Go","1 To HDD","HDD","Graphique Intégrée","Intel UHD","1x USB 2.0, 2x USB 3.2 Gen 1, 1x HDMI 1.4b, 1x prise combinée casque/microphone (3,5 mm), 1x lecteur de carte, 1x connecteur d'alimentation","Bleu","1 an","Prix spécial 975,000 DT      Ancien prix 1 029,000 DT  -54DT"
"1683666285-14","https://www.mytek.tn/","Ordinateurs portables","https://www.mytek.tn/informatique/ordinateurs-portables.html","https://www.mytek.tn/informatique/ordinateurs-portables.html?p=2","Pc Portable ACER Aspire 3 A315-58 i3 11è Gén 8Go 1To","https://www.mytek.tn/pc-portable-acer-aspire-3-a315-58-i3-11e-gen-8go-1to.html","En stock","NX.ADGEF.00M","ACER","ASPIRE 3","Non","","","1920 x 1080 pixels","Intel Core i3","Dual Core","Intel Core i3-1115G4","3.00 GHz up to 4,10 GHz Turbo max","6 Mo","8 Go","1 To HDD","HDD","Graphique Intégrée","Intel UHD","1x USB 2.0, 2 x USB 3.2 Gen 1, 1 jack combo Audio/micro compatible casque smartphone 3,5mm, 1 x RJ-45 1 x HDMI 2.0","Rouge","1 an","Prix spécial 969,000 DT      Ancien prix 1 169,000 DT  -200DT"
"1683666288-15","https://www.mytek.tn/","Ordinateurs portables","https://www.mytek.tn/informatique/ordinateurs-portables.html","https://www.mytek.tn/informatique/ordinateurs-portables.html?p=2","Pc Portable ACER Aspire 3 A315-58 i3 11è Gén 8Go 1To - Gris","https://www.mytek.tn/pc-portable-acer-aspire-3-a315-58-i3-11e-gen-8go-1to-gris.html","En stock","NX.ADDEF.01K","ACER","ASPIRE 3","Non","","","1920 x 1080 pixels","Intel Core i3","Dual Core","Intel Core i3-1115G4","3.00 GHz up to 4,10 GHz Turbo max","6 Mo","8 Go","1 To HDD","HDD","Graphique Intégrée","Intel UHD","1x USB 2.0, 2 x USB 3.2 Gen 1, 1 jack combo Audio/micro compatible casque smartphone 3,5mm, 1 x RJ-45 1 x HDMI 2.0","Gris","1 an","Prix spécial 969,000 DT      Ancien prix 1 169,000 DT  -200DT"
"1683666291-16","https://www.mytek.tn/","Ordinateurs portables","https://www.mytek.tn/informatique/ordinateurs-portables.html","https://www.mytek.tn/informatique/ordinateurs-portables.html?p=2","Pc Portable DELL Vostro 3400 i3 11è Gén 8G 1To - Noir","https://www.mytek.tn/pc-portable-dell-vostro-3400-i3-11e-gen-8g-1to-noir.html","En stock","V3400-I3-8G","DELL","VOSTRO 3400","Non","","","1366 x 768 pixels","Intel Core i3","Dual Core","Intel Core i3-1115G4","3.00 GHz up to 4,10 GHz Turbo max","6 Mo","8 Go","1 To HDD","HDD","Graphique Intégrée","Intel HD","1x USB 2.0 Type-A, 2x USB 3.2 Gen 1 Type-A, 1x HDMI 1.4,1x RJ-45, 1 prise jack pour casque 3.5 mm","Noir","1 an","969,000 DT"
"1683666294-17","https://www.mytek.tn/","Ordinateurs portables","https://www.mytek.tn/informatique/ordinateurs-portables.html","https://www.mytek.tn/informatique/ordinateurs-portables.html?p=2","Pc Portable DELL Vostro 3400 i3 11è Gén 8Go 1To - Noir","https://www.mytek.tn/pc-portable-dell-vostro-3400-i3-11e-gen-8go-1to-noir.html","En stock","N6004VN3400EMEA01-8G","DELL","VOSTRO 3400","Non","","","1366 x 768 pixels","Intel Core i3","Dual Core","Intel Core i3-1115G4","3.00 GHz up to 4,10 GHz Turbo max","6 Mo","8 Go","1 To HDD","HDD","Graphique Intégrée","Intel HD","1x USB 2.0 Type-A , 2x USB 3.2 Gen 1 Type-A, 1x HDMI 1.4,1x RJ-45, 1 prise jack pour casque 3.5 mm","Noir","1 an","969,000 DT"
"1683666297-18","https://www.mytek.tn/","Ordinateurs portables","https://www.mytek.tn/informatique/ordinateurs-portables.html","https://www.mytek.tn/informatique/ordinateurs-portables.html?p=2","PC Portable LENOVO IdeaPad 3 15IML05 i3 10è Gén 4Go 1To - Gris","https://www.mytek.tn/pc-portable-lenovo-ideapad-3-15iml05-i3-10e-gen-4go-1to-gris-81wb00xwfg.html","En stock","81WB00XWFG","LENOVO","IDEAPAD 3","Non","","","1920 x 1080 pixels","Intel Core i3","Dual Core","Intel® Core™ i3-10110U","2,10 GHz up to 4,10 GHz Turbo max","4 Mo","4 Go","1 To HDD","HDD","Graphique Intégrée","Intel UHD","1x USB 2.0, 2x USB 3.2 Gen 1, 1x HDMI 1.4b, 1x prise combinée casque/microphone (3,5 mm), 1x lecteur de carte","Gris","1 an","969,000 DT"
"1683666300-19","https://www.mytek.tn/","Ordinateurs portables","https://www.mytek.tn/informatique/ordinateurs-portables.html","https://www.mytek.tn/informatique/ordinateurs-portables.html?p=2","PC Portable LENOVO IdeaPad 3 15IML05 i3 10è Gén 4Go 1To - Bleu","https://www.mytek.tn/pc-portable-lenovo-ideapad-3-15iml05-i3-10e-gen-4go-1to-bleu.html","En stock","81WB00XVFG","LENOVO","IDEAPAD 3","Non","","","1920 x 1080 pixels","Intel Core i3","Dual Core","Intel Core i3-10110U","2.10 GHz up to 4.10 GHz Turbo max","4 Mo","4 Go","1 To HDD","HDD","Graphique Intégrée","Intel UHD","1x USB 2.0, 2x USB 3.2 Gen 1, 1x HDMI 1.4b, 1x prise combinée casque/microphone (3,5 mm), 1x lecteur de carte","Bleu","1 an","969,000 DT"
"1683666303-20","https://www.mytek.tn/","Ordinateurs portables","https://www.mytek.tn/informatique/ordinateurs-portables.html","https://www.mytek.tn/informatique/ordinateurs-portables.html?p=2","Pc Portable HP 250 G8 i3 10è Gén 4Go 1To - Argent Foncé","https://www.mytek.tn/pc-portable-hp-250-g8-i3-10e-gen-4go-1to-argent-fonce.html","En stock","27K10EA","HP","250 G8","Non","","","1366 x 768 pixels","Intel Core i3","Dual Core","Intel® Core™ i3-1005G1","1,20 GHz up to 3,40 GHz Turbo max","4 Mo","4 Go","1 To HDD","HDD","Graphique Intégrée","Intel HD","2x USB Type-A, 1x USB Type-C, 1x HDMI 1.4b, 1x RJ-45, 1 prise combinée casque/microphone, 1 prise d’alimentation secteur, Logements d'extension","Argent Foncé","1 an","969,000 DT"
"1683666306-21","https://www.mytek.tn/","Ordinateurs portables","https://www.mytek.tn/informatique/ordinateurs-portables.html","https://www.mytek.tn/informatique/ordinateurs-portables.html?p=2","PC Portable LENOVO IdeaPad 3 15ALC6 AMD RYZEN 3 4Go 256Go SSD - Bleu","https://www.mytek.tn/pc-portable-lenovo-ideapad-3-15alc6-amd-ryzen-3-4go-256go-ssd-bleu.html","En stock","82KU01Q8FG","LENOVO","IDEAPAD 3","Non","","","1920 x 1080 pixels","AMD Ryzen 3","Quad Core","AMD Ryzen™ 3 5300U","2.6 GHz Up to 3.8 GHz Turbo max","4 Mo","4 Go","256 Go SSD","SSD","AMD Radeon","AMD Radeon","1x USB 2.0, 1x USB 3.2 Gen 1, 1x USB-C 3.2 Gen 1, 1x HDMI 1.4b, 1x prise combinée casque/microphone (3,5 mm), 1x lecteur de carte","Bleu","1 an","Prix spécial 965,000 DT      Ancien prix 1 149,000 DT  -184DT"
"1683666309-22","https://www.mytek.tn/","Ordinateurs portables","https://www.mytek.tn/informatique/ordinateurs-portables.html","https://www.mytek.tn/informatique/ordinateurs-portables.html?p=2","PC Portable LENOVO IdeaPad 3 15ALC6 AMD RYZEN 3 4Go 256Go SSD","https://www.mytek.tn/pc-portable-lenovo-ideapad-3-15alc6-amd-ryzen-3-4go-256go-ssd.html","En stock","82KU01Q7FG","LENOVO","IDEAPAD 3","Non","","","1920 x 1080 pixels","AMD Ryzen 3","Quad Core","AMD Ryzen™ 3 5300U","2.6 GHz up to 3.8 GHz Turbo max","4 Mo","4 Go","256 Go SSD","SSD","AMD Radeon","AMD Radeon","1x USB 2.0, 1x USB 3.2 Gen 1, 1x USB-C 3.2 Gen 1, 1x HDMI 1.4b, 1x prise combinée casque/microphone (3,5 mm), 1x lecteur de carte","Gris","1 an","Prix spécial 965,000 DT      Ancien prix 1 149,000 DT  -184DT"
"1683666312-23","https://www.mytek.tn/","Ordinateurs portables","https://www.mytek.tn/informatique/ordinateurs-portables.html","https://www.mytek.tn/informatique/ordinateurs-portables.html?p=2","Pc Portable DELL Vostro 3510 i3 11è Gén 4Go 1To - Noir","https://www.mytek.tn/pc-portable-dell-vostro-3510-i3-11e-gen-4go-1to-noir.html","En stock","735775-3510","DELL","VOSTRO 3510","Non","","","1366 x 768 pixels","Intel Core i3","Dual Core","Intel® Core™ i3-1115G4","3,00 GHz Up to 4,10 GHz Turbo max","6 Mo","4 Go","1 To HDD","HDD","Graphique Intégrée","Intel UHD","1x USB 3.2 Gen 1, 1x USB-C 3.2 Gen 1, 1x USB 2.0, 1x HDMI 1.4, 1x RJ45,1x prise jack audio","Noir","1 an","Prix spécial 955,000 DT      Ancien prix 1 059,000 DT  -104DT"
"1683666315-24","https://www.mytek.tn/","Ordinateurs portables","https://www.mytek.tn/informatique/ordinateurs-portables.html","https://www.mytek.tn/informatique/ordinateurs-portables.html?p=2","Pc Portable ACER Aspire A315-56 i3 10è Gén 4Go 1To - Noir","https://www.mytek.tn/pc-portable-acer-aspire-a315-56-i3-10e-gen-4go-1to-noir.html","En stock","NX.HS5EF.01M","ACER","ASPIRE 3","Non","","","1920 x 1080 pixels","Intel Core i3","Dual Core","Intel® Core™ i3-1005G1","1,20 GHz up to 3,40 GHz Turbo max","4 Mo","4 Go","1 To HDD","HDD","Graphique Intégrée","Intel HD","1x USB 3.1 Type-A Gen 1, 2x USB 2.0, 1x HDMI, 1x RJ-45, 1 prise combo audio/micro","Noir","1 an","949,000 DT"
"1683666318-25","https://www.mytek.tn/","Ordinateurs portables","https://www.mytek.tn/informatique/ordinateurs-portables.html","https://www.mytek.tn/informatique/ordinateurs-portables.html?p=2","PC Portable LENOVO IdeaPad 3 15IML05 i3 10è Gén 4Go 1To - Bleu","https://www.mytek.tn/pc-portable-lenovo-ideapad-3-15iml05-i3-10e-gen-4g-1to-bleu.html","En stock","BU-81WB00XYFG","LENOVO","IDEAPAD 3","Non","","","1920 x 1080 pixels","Intel Core i3","Dual Core","Intel® Core™ i3-10110U","2,10 GHz up to 4,10 GHz Turbo max","4 Mo","4 Go","1 To HDD","HDD","Graphique Intégrée","Intel UHD","1x USB 2.0, 2x USB 3.2 Gen 1, 1x HDMI 1.4b, 1x prise combinée casque/microphone (3,5 mm), 1x lecteur de carte, 1x connecteur d'alimentation","Bleu","1 an","Prix spécial 945,000 DT      Ancien prix 995,000 DT  -50DT"
"1683666324-26","https://www.mytek.tn/","Ordinateurs portables","https://www.mytek.tn/informatique/ordinateurs-portables.html","https://www.mytek.tn/informatique/ordinateurs-portables.html?p=3","PC Portable LENOVO IdeaPad 3 15ALC6 AMD RYZEN 3 12Go 256Go SSD - Bleu","https://www.mytek.tn/pc-portable-lenovo-ideapad-3-15alc6-amd-ryzen-3-12go-256go-ssd-bleu.html","En stock","82KU01Q8FG-12G","LENOVO","IDEAPAD 3","Non","","","1920 x 1080 pixels","AMD Ryzen 3","Quad Core","AMD Ryzen™ 3 5300U","2.6 GHz Up to 3.8 GHz Turbo max","4 Mo","12 Go","256 Go SSD","SSD","AMD Radeon","AMD Radeon","1x USB 2.0, 1x USB 3.2 Gen 1, 1x USB-C 3.2 Gen 1, 1x HDMI 1.4b, 1x prise combinée casque/microphone (3,5 mm), 1x lecteur de carte","Bleu","1 an","Prix spécial 1 035,000 DT      Ancien prix 1 225,000 DT  -190DT"
"1683666327-27","https://www.mytek.tn/","Ordinateurs portables","https://www.mytek.tn/informatique/ordinateurs-portables.html","https://www.mytek.tn/informatique/ordinateurs-portables.html?p=3","PC Portable LENOVO IdeaPad 3 15ALC6 AMD RYZEN 3 12Go 256Go SSD","https://www.mytek.tn/pc-portable-lenovo-ideapad-3-15alc6-amd-ryzen-3-12go-256go-ssd.html","En stock","82KU01Q7FG-12G","LENOVO","IDEAPAD 3","Non","","","1920 x 1080 pixels","AMD Ryzen 3","Quad Core","AMD Ryzen™ 3 5300U","2.6 GHz up to 3.8 GHz Turbo max","4 Mo","12 Go","256 Go SSD","SSD","AMD Radeon","AMD Radeon","1x USB 2.0, 1x USB 3.2 Gen 1, 1x USB-C 3.2 Gen 1, 1x HDMI 1.4b, 1x prise combinée casque/microphone (3,5 mm), 1x lecteur de carte","Gris","1 an","Prix spécial 1 035,000 DT      Ancien prix 1 225,000 DT  -190DT"
"1683666330-28","https://www.mytek.tn/","Ordinateurs portables","https://www.mytek.tn/informatique/ordinateurs-portables.html","https://www.mytek.tn/informatique/ordinateurs-portables.html?p=3","Pc Portable HP 250 G8 i3 10è Gén 12Go 1To - Argent Foncé","https://www.mytek.tn/pc-portable-hp-250-g8-i3-10e-gen-12go-1to-argent-fonce.html","En stock","27K10EA-12G","HP","250 G8","Non","","","1366 x 768 pixels","Intel Core i3","Dual Core","Intel® Core™ i3-1005G1","1,20 GHz up to 3,40 GHz Turbo max","4 Mo","12 Go","1 To HDD","HDD","Graphique Intégrée","Intel HD","2x USB Type-A, 1x USB Type-C, 1x HDMI 1.4b, 1x RJ-45, 1 prise combinée casque/microphone, 1 prise d’alimentation secteur, Logements d'extension","Argent Foncé","1 an","1 035,000 DT"
"1683666333-29","https://www.mytek.tn/","Ordinateurs portables","https://www.mytek.tn/informatique/ordinateurs-portables.html","https://www.mytek.tn/informatique/ordinateurs-portables.html?p=3","PC Portable LENOVO IdeaPad 3 15ALC6 AMD RYZEN 3 8Go 256Go SSD - Bleu","https://www.mytek.tn/pc-portable-lenovo-ideapad-3-15alc6-amd-ryzen-3-8g-256go-ssd-bleu.html","En stock","82KU01QFFG-8G","LENOVO","IDEAPAD 3","Non","","","1920 x 1080 pixels","AMD Ryzen 3","Quad Core","AMD Ryzen™ 3 5300U","2.6GHz up to 3.8GHz Turbo max","4 Mo","8 Go","256 Go SSD","SSD","AMD Radeon","AMD Radeon","1x USB 2.0, 1x USB 3.2 Gen 1, 1x USB-C 3.2 Gen 1, 1x HDMI 1.4b, 1x prise combinée casque/microphone (3,5 mm), 1x lecteur de carte","Bleu","1 an","Prix spécial 1 035,000 DT      Ancien prix 1 165,000 DT  -130DT"
